ds,y
2014-01-07,8302.885
2014-01-08,13035.7834
2014-01-09,16767.343
2014-01-10,7310.4511
2014-01-11,5190.376
2014-01-12,16609.3008
2014-02-01,3681.3381400000003
2014-02-03,613.053
2014-02-04,14324.60022
2014-02-05,10095.5512
2014-02-06,15530.1149
2014-02-07,11007.22
2014-02-08,19220.897
2014-02-09,16641.96224
2014-02-10,19317.0465
2014-02-11,3699.35
2014-02-12,15224.396
2014-03-01,11327.622
2014-03-02,4501.0905
2014-03-03,4619.6428
2014-03-04,7769.6467
2014-03-05,2721.035
2014-03-06,17697.93048
2014-03-07,8062.45608
2014-03-08,1581.0615
2014-03-09,27844.18496
2014-03-10,18498.818199999998
2014-03-11,17668.375799999998
2014-03-12,25986.833720000002
2014-04-01,4705.2737
2014-04-02,8041.364
2014-04-03,8977.9642
2014-04-04,2807.2174
2014-04-05,2777.398
2014-04-06,16311.24864
2014-04-07,17032.9777
2014-04-08,21255.9071
2014-04-09,17483.459
2014-04-10,8571.46642
2014-04-11,16111.174
2014-04-12,23717.50958
2014-05-01,275.94
2014-05-02,5751.537
2014-05-03,6783.227
2014-05-04,1767.8156
2014-05-05,7532.742
2014-05-06,9871.20808
2014-05-07,10303.694
2014-05-08,13400.4034
2014-05-09,19292.45958
2014-05-10,1601.323
2014-05-11,24349.2476
2014-05-12,16825.385
2014-06-01,10840.6525
2014-06-02,7087.8438
2014-06-03,7211.671
2014-06-04,1151.547
2014-06-05,3039.4977
2014-06-06,13892.06636
2014-06-07,652.28
2014-06-08,19847.42876
2014-06-09,12910.1938
2014-06-10,22333.4812
2014-06-11,17422.742
2014-06-12,5283.508
2014-07-01,2390.1755
2014-07-02,7383.846
2014-07-03,4784.565
2014-07-04,11079.1493
2014-07-05,14657.045199999999
2014-07-06,4525.76116
2014-07-07,7040.69508
2014-07-08,22918.835759999998
2014-07-09,630.36
2014-07-10,18204.21556
2014-07-11,23601.908639999998
2014-07-12,4389.32992
2014-08-01,13258.771
2014-08-02,2330.52
2014-08-03,3177.406
2014-08-04,7562.3715
2014-08-05,22267.3795
2014-08-06,2846.67
2014-08-07,4797.915
2014-08-08,17000.922
2014-08-09,19559.167
2014-08-10,10292.4226
2014-08-11,16899.26544
2014-08-12,18619.8606
2014-09-01,9742.349
2014-09-02,127.89
2014-09-03,882.46
2014-09-04,12908.1286
2014-09-05,14904.579000000002
2014-09-06,20002.27146
2014-09-07,12978.73164
2014-09-08,8220.3505
2014-09-09,10016.31878
2014-09-10,10746.31776
2014-09-11,1039.3
2014-09-12,19271.7738
2014-10-01,4202.1201
2014-10-02,11901.2469
2014-10-03,5362.4368
2014-10-04,8510.58544
2014-10-05,8213.04476
2014-10-06,17435.58264
2014-10-07,9231.985999999999
2014-10-09,8896.6265
2014-10-10,11760.007959999999
2014-10-11,19049.80894
2014-10-12,19809.23
2014-11-01,4428.555
2014-11-02,11701.749
2014-11-03,12587.338
2014-11-04,8917.33408
2014-11-05,808.322
2014-11-06,17144.68156
2014-11-07,8423.75894
2014-11-08,20214.3949
2014-11-09,22511.7039
2014-11-10,6575.4189
2014-11-11,21408.6335
2014-11-12,19206.87518
2014-12-01,74.376
2014-12-02,11209.1396
2014-12-03,8165.5362
2014-12-04,5151.339
2014-12-05,6460.4826
2014-12-06,11068.21096
2014-12-07,8354.7919
2014-12-08,13091.17774
2014-12-09,22685.96664
2014-12-10,3702.217
2014-12-11,26237.80248
2014-12-12,11436.3889
